Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Not able to setup a fabric network using IP addresses,FAB-5352,19316,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,tonyyang132,tonyyang132,tonyyang132,18/Jul/17 10:10 AM,01/Aug/17 9:29 AM,26/Apr/18 6:50 AM,01/Aug/17 9:29 AM,v1.0.0,,,,,,v1.1,,,fabric-tools,,,,0,,,,,,,,,"I've been trying to setup a hyperledger fabric network following the e2e_cli example. What I needed to do differently than the default setup was that I configured the all orderers and peers with IP addresses, including in configtx.yaml, base/docker-compose-base.yaml and scripts/script.sh. When it tried to create a channel in script.sh, the following error occurred:

 
{code:java}
 ____    _____      _      ____    _____           _____   ____    _____
/ ___|  |_   _|    / \    |  _ \  |_   _|         | ____| |___ \  | ____|
\___ \    | |     / _ \   | |_) |   | |    _____  |  _|     __) | |  _|
 ___) |   | |    / ___ \  |  _ <    | |   |_____| | |___   / __/  | |___
|____/    |_|   /_/   \_\ |_| \_\   |_|           |_____| |_____| |_____|

Channel name : mychannel
Creating channel...
CORE_PEER_TLS_ROOTCERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/ca.crt
CORE_PEER_TLS_KEY_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/server.key
CORE_PEER_LOCALMSPID=Org1MSP
CORE_VM_ENDPOINT=unix:///host/var/run/docker.sock
CORE_PEER_TLS_CERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/server.crt
CORE_PEER_TLS_ENABLED=true
CORE_PEER_MSPCONFIGPATH=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/users/Admin@org1.example.com/msp
CORE_PEER_ID=cli
CORE_LOGGING_LEVEL=DEBUG
CORE_PEER_ADDRESS=172.16.10.31:7051
2017-07-18 09:13:29.326 UTC [msp] GetLocalMSP -> DEBU 001 Returning existing local MSP
2017-07-18 09:13:29.326 UTC [msp] GetDefaultSigningIdentity -> DEBU 002 Obtaining default signing identity
2017-07-18 09:13:29.331 UTC [grpc] Printf -> DEBU 003 Failed to dial 172.16.10.31:7050: connection error: desc = ""transport: authentication handshake failed: x509: cannot validate certificate for 172.16.10.31 because it doesn't contain an
y IP SANs""; please retry.
Error: Error connecting due to  rpc error: code = Internal desc = connection error: desc = ""transport: authentication handshake failed: x509: cannot validate certificate for 172.16.10.31 because it doesn't contain any IP SANs""
Usage:
  peer channel create [flags]

Flags:
  -c, --channelID string   In case of a newChain command, the channel ID to create.
  -f, --file string        Configuration transaction file generated by a tool such as configtxgen for submitting to orderer
  -t, --timeout int        Channel creation timeout (default 5)

Global Flags:
      --cafile string              Path to file containing PEM-encoded trusted certificate(s) for the ordering endpoint
      --logging-level string       Default logging level and overrides, see core.yaml for full syntax
  -o, --orderer string             Ordering service endpoint
      --test.coverprofile string   Done (default ""coverage.cov"")
      --tls                        Use TLS when communicating with the orderer endpoint
  -v, --version                    Display current version of fabric peer server

!!!!!!!!!!!!!!! Channel creation failed !!!!!!!!!!!!!!!!
================== ERROR !!! FAILED to execute End-2-End Scenario ==================
{code}
I then tried setting relevant IP addresses as SANS in crypto-config.yaml, but the error was still the same.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01egt:,,,,,,,,tonyyang132,ysim,,,,,,,,,master,,,true,"18/Jul/17 10:22 AM;tonyyang132;I digged a bit further and found the issue in https://github.com/hyperledger/fabric/blob/master/common/tools/cryptogen/ca/generator.go#L103. No matter what is provided as SANS in crypto-config.yaml, current logic assumes they are host names and put them in template.DNSNames. I believe a more reasonable approach would be to examine the content of SANS and if it's an IP address, put it in template.IPAddresses.",18/Jul/17 11:01 AM;tonyyang132;A possible fix - https://gerrit.hyperledger.org/r/11719,19/Jul/17 8:46 AM;tonyyang132;Should have done a better job searching for existing work items before raising this one. It turns out that there has already been a mention of the issue - https://jira.hyperledger.org/browse/FAB-4364.,,,,,,,,,,,,,,,,,,,,,
can not set property 'ordererWaitTimeMilliSecs' for OrdererClient,FAB-5351,19313,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,hongquan.zhang,hongquan.zhang,hongquan.zhang,18/Jul/17 9:07 AM,27/Jul/17 12:53 PM,26/Apr/18 6:50 AM,18/Jul/17 10:05 AM,,,,,,,,,,fabric-sdk-java,,,,0,java-SDK,,,,,,,,"can not set property 'ordererWaitTimeMilliSecs' for OrderClient

'","ubuntu 14.04

fabric-sdk-java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01egd:,,,,,,,,gangmax,hongquan.zhang,,,,,,,,,,,,,"27/Jul/17 12:53 PM;gangmax;h3. Hi, I'm facing this issue. When will this fix be released? Thanks!

 

 

 ",,,,,,,,,,,,,,,,,,,,,,,
MSP Identity Identifier should be computed after certificate sanitisation,FAB-5350,19310,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,angelo.decaro,angelo.decaro,18/Jul/17 1:16 AM,03/Aug/17 7:58 AM,26/Apr/18 6:50 AM,03/Aug/17 7:57 AM,v1.0.0,,,,,,v1.1,,,fabric-crypto,,,,0,help-wanted,MembershipServices,Security,,,,,,"The MSP Identity Identifier consists of the MSP id and the Hash of the identity's certificate. 
Currently, it is computed before the certificate sanitisation. So, an attacker can still hope to present itself with two valid identities to the network.

So far, Fabric does not use the Identity Identifier to reason about access control so the above does not constitute an issue. It anyway needs to be fixed in order to allow to reason about Identity Identifiers in a safe way, 

This change is required to be able to add caching mechanisms to MSP to improve performances.

[~ellaki], [~ales], please, have your say :)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzz4r:ziz,,,,,,,,angelo.decaro,elli-androulaki,,,,,,,,,master,,,true,"03/Aug/17 7:58 AM;elli-androulaki;[https://gerrit.hyperledger.org/r/#/c/11929/]

 ",,,,,,,,,,,,,,,,,,,,,,,
Admin certificate is generated as a CA certificate,FAB-5348,19307,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,jtrayfield,jtrayfield,17/Jul/17 7:07 PM,04/Sep/17 1:34 PM,26/Apr/18 6:50 AM,04/Sep/17 1:34 PM,,,,,,,v1.0.2,,,fabric-crypto,,,,0,,,,,,,,,"I get this error from the CLI:

 

Channel name : OATS

Creating channel...

CORE_PEER_TLS_ROOTCERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/oats.ibm.com/peers/peer0.oats.ibm.com/tls/ca.crt

CORE_PEER_TLS_KEY_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/oats.ibm.com/peers/peer0.oats.ibm.com/tls/server.key

CORE_PEER_LOCALMSPID=OATSMSP

CORE_VM_ENDPOINT=unix:///host/var/run/docker.sock

CORE_PEER_TLS_CERT_FILE=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/oats.ibm.com/peers/peer0.oats.ibm.com/tls/server.crt

CORE_PEER_TLS_ENABLED=true

CORE_PEER_MSPCONFIGPATH=/opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/oats.ibm.com/users/Admin@oats.ibm.com/msp

CORE_PEER_ID=cli

CORE_LOGGING_LEVEL=DEBUG

CORE_PEER_ADDRESS=peer0.oats.ibm.com:7051

{color:#ff0000}2017-07-17 18:56:27.429 UTC [main] main -> ERRO 001 Cannot run peer because error when setting up MSP from directory /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/oats.ibm.com/users/Admin@oats.ibm.com/msp: err admin 0 is invalid, validation error Could not obtain certification chain, err A CA certificate cannot be used directly by this MSP{color}

!!!!!!!!!!!!!!! Channel creation failed !!!!!!!!!!!!!!!!

========= ERROR !!! FAILED to execute End-2-End Scenario ===========

 

I think the root cause is that the Admin cert is a CA cert:

$ openssl x509 -text -noout -in crypto-config/peerOrganizations/oats.ibm.com/users/Admin\@oats.ibm.com/msp/admincerts/ca.oats.ibm.com-cert.pem 

Certificate:

    Data:

        Version: 3 (0x2)

        Serial Number:

            31:58:e0:0f:93:51:92:ab:0c:5b:36:77:ac:3c:38:ce

    Signature Algorithm: ecdsa-with-SHA256

        Issuer: C=US, ST=California, L=San Francisco, O=oats.ibm.com, CN=ca.oats.ibm.com

        Validity

            Not Before: Jul 17 18:26:27 2017 GMT

            Not After : Jul 15 18:26:27 2027 GMT

        Subject: C=US, ST=California, L=San Francisco, O=oats.ibm.com, CN=ca.oats.ibm.com

        Subject Public Key Info:

            Public Key Algorithm: id-ecPublicKey

                Public-Key: (256 bit)

                pub: 

                    04:1b:48:47:3d:1c:9b:9c:dc:0f:9e:22:5e:cc:4c:

                    76:d0:cc:27:23:ea:72:22:74:57:de:7c:84:69:73:

                    51:4e:61:bd:d3:34:75:72:a1:8c:89:f0:5e:78:c7:

                    5f:0d:34:8c:ba:d9:36:42:37:39:1b:35:78:d7:a3:

                    b2:7d:1d:ae:ce

                ASN1 OID: prime256v1

                NIST CURVE: P-256

        X509v3 extensions:

            X509v3 Key Usage: critical

                Digital Signature, Key Encipherment, Certificate Sign, CRL Sign

            X509v3 Extended Key Usage: 

                Any Extended Key Usage, TLS Web Server Authentication

            X509v3 Basic Constraints: critical

                CA:TRUE

 

When I replace the admin cert with the admin MSP signcert, I don't get the error anymore.

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01efp:,,,,,,,,chljapan,jtrayfield,mastersingh24,,,,,,,,,,,,"19/Jul/17 2:53 PM;jtrayfield;I get this with the vanilla fabric-samples/first-network:



2017-07-19 14:51:24.817 UTC [main] main -> ERRO 001 Cannot run peer because error when setting up MSP from directory /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/users/Admin@org1.example.com/msp: err admin 0 is invalid, validation error Could not obtain certification chain, err A CA certificate cannot be used directly by this MSP

!!!!!!!!!!!!!!! Channel creation failed !!!!!!!!!!!!!!!!

 ",23/Aug/17 3:22 AM;chljapan;Can you give me a detailed plan?  by step! Thanks！！！！,"04/Sep/17 1:33 PM;mastersingh24;This is not the case with the current versions of the artifacts generated by the cryptogen tool.
Please move to v1.0.2  - http://hyperledger-fabric.readthedocs.io/en/latest/samples.html#download-platform-specific-binaries - and re-open if there are any issues",,,,,,,,,,,,,,,,,,,,,
Go SDK - NewChannel set nil in the channels array,FAB-5343,19301,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,firas.qutishat,firas.qutishat,firas.qutishat,17/Jul/17 3:41 PM,02/Aug/17 8:37 PM,26/Apr/18 6:50 AM,02/Aug/17 8:37 PM,,,,,,,,,,fabric-sdk-go,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01eed:,,,,,,,,firas.qutishat,,,,,,,,,,master,,,true,,,,,,,,,,,,,,,,,,,,,,,,
Solo does not respect updated batch timeout,FAB-5341,19299,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,jyellick,jyellick,jyellick,17/Jul/17 2:49 PM,30/Jul/17 1:22 PM,26/Apr/18 6:50 AM,17/Jul/17 7:41 PM,,,,,,,v1.0.1,,,fabric-orderer,,,,0,,,,,,,,,"Solo is currently initialized with a batch timeout value, and even when it is modified by a config update, will retain the old batch timeout until restart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01edx:,,,,,,,,jyellick,,,,,,,,,,release-1.0,master,,true,17/Jul/17 3:24 PM;jyellick;In review via: https://gerrit.hyperledger.org/r/#/c/11685/,,,,,,,,,,,,,,,,,,,,,,,
Message max size reconfiguration only respected on restart,FAB-5340,19298,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,jyellick,jyellick,jyellick,17/Jul/17 2:35 PM,30/Jul/17 1:22 PM,26/Apr/18 6:50 AM,17/Jul/17 7:41 PM,,,,,,,v1.0.1,,,fabric-orderer,,,,0,,,,,,,,,"The max message size parameters are only read when the the size filter is constructed, not at each invocation.  This means that if the batch size is reconfigured, the filter will only pick this up on restart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01edp:,,,,,,,,jyellick,,,,,,,,,,release-1.0,master,,true,17/Jul/17 2:48 PM;jyellick;In review via: https://gerrit.hyperledger.org/r/#/c/11683/,,,,,,,,,,,,,,,,,,,,,,,
Add nil check to String() method in gossip/extensions,FAB-5339,19295,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,yacovm,yacovm,17/Jul/17 2:00 PM,30/Jul/17 1:22 PM,26/Apr/18 6:50 AM,18/Jul/17 10:01 AM,v1.0.0,,,,,,v1.0.1,,,fabric-gossip,,,,0,,,,,,,,,"There is a case in the code where it is done:
{code:java}
    if m.GossipMessage != nil {
        ...
        } else if m.IsDataMsg() {
            gMsg = m.GetDataMsg().Payload.toString()
         ...
    }{code}
If somehow *m.GetDataMsg().Payload* is nil, this would result in a null pointer panic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01ed1:,,,,,,,,mastersingh24,yacovm,,,,,,,,,release-1.0,master,,true,18/Jul/17 10:01 AM;mastersingh24;https://gerrit.hyperledger.org/r/#/c/11681,,,,,,,,,,,,,,,,,,,,,,,
Intermediate CA does not copy CSP config from server to client,FAB-5334,19289,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,vpaprots,vpaprots,vpaprots,17/Jul/17 3:19 AM,31/Jul/17 10:03 AM,26/Apr/18 6:50 AM,21/Jul/17 10:59 AM,v1.0.0,,,,,,v1.0.1,,,fabric-ca,,,,0,,,,,,,,,"Intermediate-CA internally creates a client, and sends a CSR to the parent CA. This client must use the same CSP config as the server, so that the server can later access the keys generated by the client.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzz6a:rhw9mi,,,,,,,,mastersingh24,vpaprots,,,,,,,,,release-1.0,master,,true,17/Jul/17 8:11 AM;mastersingh24;https://gerrit.hyperledger.org/r/#/c/11475/,,,,,,,,,,,,,,,,,,,,,,,
Inconsistent results between in real Fabric chaincode deployment and in unit test,FAB-5333,19288,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,,mochechan,mochechan,17/Jul/17 1:57 AM,27/Nov/17 4:09 AM,26/Apr/18 6:50 AM,27/Nov/17 4:09 AM,,,,,,,,,,fabric-devenv,fabric-quality,,,0,,,,,,,,,"If we use stub.PutState and stub.GetState in the same Invoke, we will get inconsistent results between in real Fabric chaincode and in unit test. Here gives a simple example:

76 func (t *CC) Invoke(stub shim.ChaincodeStubInterface) peer.Response \{
 77 var err error
 78 var byteArray []byte
 79 
 80 err = stub.PutState(""just-existing"", []byte(""just-data""))
 81 if err != nil \{
 82 return shim.Error(err.Error())
 83 }
 84 
 85 byteArray,err = stub.GetState(""just-existing"")
 86 if err != nil \{
 87 return shim.Error(err.Error())
 88 }
 89 if byteArray == nil \{
 90 fmt.Println(""success but no data "")
 91 }
 92 fmt.Println(string(byteArray))
 93 }

If we run this Invoke only one time in unit test, we will get ""just-data"".

if we run this Invoke only one time in real Fabric deployment, we will get ""success but no data"".

 ",,,,,,,,,,,,,,,,FAB-5832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01ebh:,,,,,,,,denyeart,mochechan,,,,,,,,,,,,,"27/Nov/17 4:09 AM;denyeart;Dup of FAB-5832, closing.",,,,,,,,,,,,,,,,,,,,,,,
Make delivery service stop pulling blocks if ledger is stuck,FAB-5332,19286,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,yacovm,yacovm,16/Jul/17 1:26 PM,01/Nov/17 2:18 PM,26/Apr/18 6:50 AM,01/Nov/17 2:18 PM,v1.0.0,,,,,,Abandoned,,,fabric-peer,,,,0,,,,,,,,,"In some cases, the delivery service pulls blocks while the ledger may be stuck, i.e if the file system is full.

 

There is no point in doing so, and we need to:
 * Make the delivery service stop pulling blocks
 * Perhaps also disable the leader election module for that channel until the peer's ledger recovers.

 

[~C0rWin] [~gennadyl]  opinions?","Closing the tickets since:

1. If there is an error on FS level, the commit will fail eventually leading peer to panic and exit.

2. It's very unlikely to get into situation where write will hangs on indefinitely, hence per discussion with @yacovm we should not try to over complicate code providing solution for this case.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01eb9:,,,,,,,,C0rWin,jeffgarratt,muralisr,yacovm,,,,,,,,,,,07/Sep/17 6:38 PM;muralisr;[~yacovm] can you add a comment what context this came out of (I vaguely remember there was a different context that instigated this JIRA) ?,"07/Sep/17 7:33 PM;yacovm;Basically HSBN had a problem where the writes were failing and the deliver service was simply pulling more and more blocks indefinitely. 
That's what I remember, [~C0rWin] can correct me if I'm wrong.

After [this|https://gerrit.hyperledger.org/r/#/c/12495/] fix went in, however- the operation would block starting from a certain block gap between the ledger and the deliver service.
so.. in a way, the first bullet is fulfilled.
The second bullet - no so much. 

We need to think more about how and whether to do this.
[~C0rWin] opinions? What shall be done with this JIRA?",26/Oct/17 7:23 PM;jeffgarratt;[~yacovm] [~C0rWin] Any updates to this one?,"31/Oct/17 8:59 PM;C0rWin;Currently if ledger got stuck, for example due to the fact that file system is full, the commit of the block will fail and peer will result with panic. While, I understand the intent behind this ticket and even if we do delivery service and leader election to stop, the only way to resume will be to restart the peer, which for such situation seems reasonable. 

If we going on adding functionality to stop delivery service and leader election, we need to think how we would alert or let operator to know that peer has to be resumed. 

As a first step I'd suggest adding exponential backoff strategy to retry committing new blocks in case of failure.","31/Oct/17 10:39 PM;yacovm;Here is an idea: 

As well known, the state module has a goroutine which repeatedly does something that can be roughly described as :
{code}
case <-s.payloads.Ready()    // wait until the next block in order is available
          s.payloads.Pop()   // pop that block
          commit block
{code}


The payload buffer (s.payloads) is fed blocks by the goroutine of the deliver service via addPayload in blocking mode, and the relevant part of the code is:
{code}
	for blockingMode && s.payloads.Size() > defMaxBlockDistance*2 {
		time.Sleep(enqueueRetryInterval)
	}

return s.payloads.Push(payload)
{code}

As we know, if the payload buffer is ""too full"", the goroutine that calls addPayload in blocking mode - spins in the for loop above doing sleep until the size of the payload buffer is reduced enough.
So, essentially we  have a struct (the one in state.go) that 2 goroutines have access to it concurrently:
* The goroutine which commits the blocks into the ledger
* The goroutine which passes the blocks to the 1st goroutine via the payload buffer, and if the file system is full - it will be either:
** stuck in receiving a block from the payload buffer
** stuck doing an endless sleep waiting for the payload buffer to get smaller in size.

I think that for v1.1 what we can do is:
* Have an atomic variable that is:
** Set to the current time right before commitBlock() is called
** Set to 0 right after commitBlock() is called
* Have the code in addPayload check in the for loop that sleeps, whether the difference between the current time and the last time commitBlock() was called isn't too high.
If it is - it means that commitBlock() takes too much time and it is stuck, so return a special error that the blocks provider (in the deliver service) would check and if it would indicate the ledger is stuck, then we ""return"" (this is the code path that triggers the leader election to give up on leadership)


What do you think [~C0rWin] ? 
",,,,,,,,,,,,,,,,,,,
Fix formatting of channel in gossip String(),FAB-5331,19285,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,yacovm,yacovm,16/Jul/17 1:23 PM,30/Jul/17 1:22 PM,26/Apr/18 6:50 AM,17/Jul/17 8:18 AM,v1.0.0,,,,,,v1.0.1,,,fabric-gossip,,,,0,active,gossip,,,,,,,"Historically, gossip keeps the channel name in messages *[]byte* instead of in *string*s.

There is a String() method that formats complex messages and it does:
{code:java}
desc := fmt.Sprintf(""Channel: %v, nonce: %d, tag: %s"", m.Channel, m.Nonce, GossipMessage_Tag_name[int32(m.Tag)]){code}
since the channel is a byte array, the channel is printed to the log as bytes: *[121 97 99 111 118]*

It would be beneficial to print instead a string, for usability of log parsing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01eb1:,,,,,,,,mastersingh24,yacovm,,,,,,,,,release-1.0,master,,true,17/Jul/17 8:17 AM;mastersingh24;https://gerrit.hyperledger.org/r/#/c/11673/,,,,,,,,,,,,,,,,,,,,,,,
Prevent state transfer payload buffer overpopulation,FAB-5330,19284,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,yacovm,yacovm,yacovm,16/Jul/17 12:46 PM,30/Jul/17 1:22 PM,26/Apr/18 6:50 AM,20/Jul/17 7:27 PM,v1.0.0,,,,,,v1.0.1,,,fabric-gossip,,,,0,active,gossip,,,,,,,"The state transfer module receives blocks from either the orderer or from other peers and puts them into a payload buffer, where blocks are reordered in order to be sent into the ledger in-order.

In some cases, the payload buffer may fill up and over-populate:
 * If a peer is missing lots of blocks because it joined the channel late, it will receive blocks from other peers  but won't be able to commit them until it receives the missing blocks it needs from neighboring peers. In the meantime - the blocks from the ordering service would be kept in the payload buffer
 * If the ledger is stuck (i.e file system full) the peer would still end up filling the payload buffer

What we probably need to do is to skip putting blocks into the payload buffer, if the difference in the block sequence and the ledger height is bigger than some configurable size.

 

[~C0rWin]

[~gennadyl]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01eat:,,,,,,,,yacovm,,,,,,,,,,release-1.0,master,,true,18/Jul/17 4:26 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/11727/,,,,,,,,,,,,,,,,,,,,,,,
