Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Address CI test failure: Error during consumption: <nil>,FAB-6509,21376,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,sanchezl,sanchezl,sanchezl,10/6/2017 19:15,10/8/2017 11:20,4/26/2018 6:50,10/8/2017 11:20,,,,,v1.1,,fabric-orderer,,,,0,kafka,,,,See [https://jenkins.hyperledger.org/job/fabric-verify-z/13105/console] for more info.,,,,,,,,,,,FAB-6380,,,,,,,,,,,,,,,0|i01pjh:,,,,,,kchristidis,sanchezl,,,,,,master,,,TRUE,08/Oct/17 11:20 AM;kchristidis;https://gerrit.hyperledger.org/r/c/14281/,,,,,,,,,,,,,,,,,,,,,
build your first network script get-byfn.sh script cannot get its tar file,FAB-6521,21701,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,nickgaski,mikailcetinkaya,mikailcetinkaya,10/8/2017 19:34,10/27/2017 14:47,4/26/2018 6:50,10/27/2017 14:47,,,,,v1.0.3,,fabric-docs,,,10/10/2017 0:00,0,Documentation,,,,"build your first network script from DOCS do not work

get-byfn.sh script cannot get its tar file from 

https://nexus.hyperledger.org/content/repositories/releases/org/hyperledger/fabric/examples/hyperledger-fabric-byfn-$(VERSION).tar.gz 

examples directory is deleted.",,3600,3600,,0%,3600,3600,,,,,,,,,,,,,,,,,,,0|i01plx:,,,,,,mikailcetinkaya,nickgaski,,,,,,,,,,"08/Oct/17 7:57 PM;mikailcetinkaya;FAB-6182 is merged but how to get this work , not included only deleted",27/Oct/17 2:47 PM;nickgaski;BYFN is working as designed now; you simply need to install the prereqs and clone the fabric-samples directory and finally issue the supplied curl command at the root of fabric-samples.  This will leave you with stable Docker images and the necessary utilities for crypto generation and configuration.,,,,,,,,,,,,,,,,,,,,
Node-SDK test fails to handle Windows tempdir used for HFC_LOGGING,FAB-6612,22022,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,lehors,lehors,lehors,10/13/2017 15:38,10/20/2017 16:31,4/26/2018 6:50,10/20/2017 16:31,v1.0.3,,,,v1.1,,fabric-sdk-node,,,,0,node-SDK,,,," Running the tests on Windows generate the following error:
{code:java}
$ gulp test-headless

####################################################
# debug log: C:\Users\lehors\AppData\Local\Temp\hfc\test-log\debug.log
####################################################

[17:15:25] Using gulpfile ~\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\gulpfile.js
[17:15:25] Starting 'clean-up'...
...
[17:15:43] Starting 'test-headless'...
warn: Failed to parse environment variable ""HFC_LOGGING"". Returned a winston logger with default configurations. Error: SyntaxError: Unexpected token U in JSON at position 13
    at Object.parse (native)
    at Object.module.exports.getLogger (C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\node_modules\fabric-client\lib\utils.js:176:19)
    at Object.<anonymous> (C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\test\unit\block.js:34:20)
    at Module._compile (module.js:570:32)
    at Object.Module._extensions..js (module.js:579:10)
    at Object.Module._extensions.(anonymous function) [as .js] (C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\node_modules\istanbul\lib\hook.js:109:37)
    at Module.load (module.js:487:32)
    at tryModuleLoad (module.js:446:12)
    at Function.Module._load (module.js:438:3)
    at Module.require (module.js:497:17)
    at require (internal/module.js:20:19)
    at module.exports (C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\node_modules\require-uncached\index.js:28:9)
    at C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\node_modules\gulp-tape\index.js:36:9
    at Array.forEach (native)
    at DestroyableTransform.flush [as _flush] (C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\node_modules\gulp-tape\index.js:35:13)
    at DestroyableTransform.<anonymous> (C:\Users\lehors\Projects\Go\src\github.com\hyperledger\fabric-sdk-node\node_modules\readable-stream\lib\_stream_transform.js:138:49)

...{code}
This leads to an empty debug log:

 
{code:java}
$ ll ~/AppData/Local/Temp/hfc/test-log/debug.log
-rwx------+ 1 lehors None 0 Oct 13 17:15 /home/lehors/AppData/Local/Temp/hfc/test-log/debug.log{code}
 

 

 

 ","Windows 7, node 6.9.5, npm 4.3.0

 ",,,,,,,,,,,,,,,,,,,,,,,,,0|i01qlp:,,,,,,lehors,,,,,,,master,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
fabric-ca mysql database name does not allow for digits,FAB-6615,22026,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,skarim,rennman,rennman,10/13/2017 18:05,10/25/2017 19:48,4/26/2018 6:50,10/25/2017 19:48,v1.1,,,,v1.1,,fabric-ca,,,,0,,,,,"According to the mysql doc, Section 9.2, Schema Object Names, the following characters are allowed:

[0-9,a-z,A-Z$_]

However the parsing code in NewUserRegistryMySQL() in ./lib/dbutil/dbutil.go defines the regexp

[a-zA-z]

 which discounts both digits and the underscore.",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01qmd:,,,,,,mastersingh24,rennman,skarim,,,,,,,,,16/Oct/17 10:39 AM;mastersingh24;[~rennman] - Why exactly do we care?  ,"16/Oct/17 5:58 PM;rennman;I would think we want to honor what the user configured, but at any rate it's more convoluted.

We have three relevant vars:
{code:java}
datasource
dbName
connStr{code}


datasource is the raw value taken straight from the configuration.
dbName is extracted from datasource.

In NewUserRegistryMySQL(), we instantiate the DB obejct by making a call to DB.Open() using a generic connection string, which *should* be the datasource minus the dbName. e.g., if
{code:java}
   datasource: root:mysql@tcp(localhost:3306)/fabric_ca2?parseTime=true{code}

then it follows that
{code:java}
   dbName=""fabric_ca2""
   connStr=""root:mysql@tcp(localhost:3306)/?parseTime=true""{code}


We do extract the DB name correctly (correctly, in the sense that we allow literally anything that is not forward slash '/', or colon ':'). However, because we are inconsistent with the rules that build the initial connStr, in the current code we essentially stop when we  see any character that is not in the set the set [a-zA-z], so datasource is transmuted into:
   connStr=""root:mysql@tcp(localhost:3306)/{color:#ff0000}*2*{color}?parseTime=true""


Consequently, when we attempt to instantiate the DB object, we try to connect to a database that doesn't (or with extremely high probability) exist:
{code:java}
2017/10/16 17:10:20 [DEBUG] Connecting to MySQL server, using connection string: ****:****@tcp(localhost:3306)/2?parseTime=true
2017/10/16 17:10:20 [ERROR] Error occurred initializing database: Failed to create user registry for MySQL: Failed to connect to MySQL database: Error 1049: Unknown database '2'{code}
Because we return immediately with an error, we skip the call to createMySQLDatabase() altogether (which ironically, probably would have succeeded since the call to createMySQLDatabase() is made with the raw datasource)

At a minimum, we should allow the same character set for the DB name when building the connStr, as we allow in getDBName, namely
   anything not in the set [/:].
Ideally, we would use the restrictions from the documentation:
   [0-9,a-z,A-Z$_]",19/Oct/17 8:18 PM;skarim;This will be resolved in [FAB-6508]. https://gerrit.hyperledger.org/r/#/c/14715/,,,,,,,,,,,,,,,,,,,
Typo in gossip/private,FAB-6732,22801,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,fennelD7,fennelD7,fennelD7,10/24/2017 8:43,11/27/2017 5:41,4/26/2018 6:50,11/27/2017 5:41,,,,,,,fabric-gossip,,,,0,,,,,"[https://github.com/hyperledger/fabric/blob/1e876e3852a05afb52d25265566baa109537b8b9/gossip/privdata/coordinator.go#L76]

where date should be data.",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01rnh:,,,,,,fennelD7,,,,,,,master,,,TRUE,24/Oct/17 8:49 AM;fennelD7;https://gerrit.hyperledger.org/r/#/c/14799/,,,,,,,,,,,,,,,,,,,,,
Build your network example lacks some information in manual steps (steps fail),FAB-6766,22847,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,nickgaski,phillipviana,phillipviana,10/25/2017 21:56,11/21/2017 17:01,4/26/2018 6:50,11/21/2017 17:01,,,,,,,fabric-docs,,,,0,documentation,,,,"The ""Build your network"" example contains a note in the source code about commenting out the `script.sh` line but due to a missing semicolon the text does not appear in the documentation. This leads to failing steps and confusion. A StackOverflow question with regards to this was asked here: [https://stackoverflow.com/questions/45707982/fabric-returns-error-got-unexpected-status-bad-request]

 ",,3600,3600,,0%,3600,3600,,,,,,,,,,,,,,,,,,,0|i01rx1:,,,,,,phillipviana,,,,,,,,,,,21/Nov/17 5:00 PM;phillipviana;Solved by Nick in this commit: https://github.com/hyperledger/fabric/commit/938a3e6124e24e1665698cc54ae37c1473062e80,,,,,,,,,,,,,,,,,,,,,
fabric-sdk-node: Registration of admin fails at the first attempt but succeed if retried,FAB-7084,24432,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,jeroiraz,jeroiraz,11/22/2017 13:20,11/28/2017 17:47,4/26/2018 6:50,11/28/2017 17:46,,,,,,,fabric-samples,fabric-sdk-node,,,0,balance-transfer,node-sdk,,,"Based on the balance-transfer (master branch), first attempt to register admin user fails but succeed when retried.

*Request*: curl -s -X POST http://localhost:4000/users -H ""content-type: application/x-www-form-urlencoded"" -d 'username=admin&orgName=org1'

First time the above request is made, it returns the following error:

- _Registration of 'admin' failed: Identity 'admin' is already registered_

But if the same request is made again, it suceeds:

- _""message"":""admin enrolled Successfully"",""token"":""eyJhbGciOiJIUzI1...""_",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01urx:,,,,,,harrisob@us.ibm.com,jeroiraz,,,,,,,,,,28/Nov/17 5:47 PM;harrisob@us.ibm.com;The sample app has been updated... and I am not able to recreate this issue.,,,,,,,,,,,,,,,,,,,,,
Math symbols not showing in the documentation are causing confusion,FAB-7093,24444,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,phillipviana,phillipviana,phillipviana,11/23/2017 5:27,1/30/2018 18:55,4/26/2018 6:50,1/30/2018 18:55,,,,,,,fabric-docs,,,,0,Documentation,,,,"The architecture page is formally written and very precise, but the symbols (which appear to be LaTeX-based) are not rendered properly on the page and therefore are causing confusion. See the StackOverflow question below for details:

https://stackoverflow.com/questions/47437221/hyperledger-documentation-questions/47448149#47448149",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01uul:,,,,,,denyeart,phillipviana,,,,,,master,,,TRUE,30/Jan/18 6:55 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/15747/,,,,,,,,,,,,,,,,,,,,,
Incorrect grammar in gerrit documentation,FAB-7096,24456,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,ysim,ysim,ysim,11/23/2017 17:33,11/23/2017 18:56,4/26/2018 6:50,11/23/2017 18:56,,,,,,,fabric-docs,,,,0,,,,,"Pertains to this page: [https://hyperledger-fabric.readthedocs.io/en/release/Gerrit/gerrit.html]

The grammar of some of the headings is wrong. It should be ""Using git-review"" and ""Not using git-review"", vs ""Use git-review""/""Not Use git-review"".

Note: Have already a pushed a change at [https://gerrit.hyperledger.org/r/#/c/15679/,] but forgot to make a JIRA issue so I will be amending my change to include this ticket number.",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01uwt:,,,,,,ysim,,,,,,,master,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Orderer Service failed in Message Payloads due to wrong Assertion length.,FAB-7148,24528,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,latitiah,sambhavdutt,sambhavdutt,11/28/2017 19:39,1/5/2018 17:29,4/26/2018 6:50,1/5/2018 1:11,,,,,,,fabric-quality,,,,0,ci_failure,,,,"Observed the following errors in Orderer Service for
*FAB-3852: Message Payloads Less than 1MB, for solo orderer using the NodeJS SDK interface -- @1.3 * ,

Error Message

Expected response to be of length 1024; received length 17; Result: Query Result...

Failing step: Then a user receives a response containing a value of length 1024 ... failed in 0.000s
Location: orderer.feature:72
Assertion Failed: Expected response to be of length 1024; received length 17; Result: Query Result: """"

And a user queries on the chaincode named ""mycc"" with args [""get"",""a""] ... passed in 2.976s
    Then a user receives a response containing a value of length 1024 ... failed in 0.000s
    And a user receives a response with the random value ... skipped in 0.000s.

*Build Log*

https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-verify-x86_64/564/testReport/orderer/Orderer%20Service/FAB_3852__Message_Payloads_Less_than_1MB__for_solo_orderer_using_the_NodeJS_SDK_interface_____1_3_/


",,,,,,,,,,,,,27/Dec/17 3:51 PM;sambhavdutt;ft.png;https://jira.hyperledger.org/secure/attachment/13949/ft.png,,,,,,,,,,,,,0|i01vbx:,,,,,,latitiah,mastersingh24,sambhavdutt,scottz,,,,,,,,"29/Nov/17 12:48 PM;sambhavdutt;The same error is showing up in the fabric-test merge job now.

*Build Log*

https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-merge-x86_64/111/consoleFull","30/Nov/17 4:19 PM;sambhavdutt;Observed the following errors in fabric-test-verify-x86_64, Build 577,

Scenario Outline: FAB-3852: Message Payloads Less than 1MB, for solo orderer using the NodeJS SDK interface -- @1.3 # orderer.feature:94 

2:08:52     And I use the NodeJS SDK interface                                                                                  # steps/basic_impl.py:25
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.cpp: In function ‘void declare_attributes(v8::Local<v8::Object>)’:
02:09:33 ../src/const.h:23:7: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]
02:09:33   Nan::ForceSet(             \
02:09:33        ^
02:09:33 ../src/const.cpp:6:2: note: in expansion of macro ‘SET_CONST’
02:09:33   SET_CONST(target, CKA_CLASS);
02:09:33   ^
02:09:33 In file included from ../../nan/nan.h:197:0,
02:09:33                  from ../src/const.h:7,
02:09:33                  from ../src/const.cpp:1:
02:09:33 ../../nan/nan_maybe_43_inl.h:116:35: note: declared here
02:09:33  NAN_DEPRECATED inline Maybe<bool> ForceSet(
02:09:33                                    ^
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.h:23:7: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]
02:09:33   Nan::ForceSet(             \
02:09:33        ^
02:09:33 ../src/const.cpp:6:2: note: in expansion of macro ‘SET_CONST’
02:09:33   SET_CONST(target, CKA_CLASS);
02:09:33   ^
02:09:33 In file included from ../../nan/nan.h:197:0,
02:09:33                  from ../src/const.h:7,
02:09:33                  from ../src/const.cpp:1:
02:09:33 ../../nan/nan_maybe_43_inl.h:116:35: note: declared here
02:09:33  NAN_DEPRECATED inline Maybe<bool> ForceSet(
02:09:33                                    ^
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.h:27:56: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]
02:09:33    static_cast<PropertyAttribute>(ReadOnly | DontDelete));
02:09:33                                                         ^
02:09:33 ../src/const.cpp:6:2: note: in expansion of macro ‘SET_CONST’
02:09:33   SET_CONST(target, CKA_CLASS);
02:09:33   ^
02:09:33 In file included from ../../nan/nan.h:197:0,
02:09:33                  from ../src/const.h:7,
02:09:33                  from ../src/const.cpp:1:
02:09:33 ../../nan/nan_maybe_43_inl.h:116:35: note: declared here
02:09:33  NAN_DEPRECATED inline Maybe<bool> ForceSet(
02:09:33                                    ^
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.h:23:7: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]
02:09:33   Nan::ForceSet(             \
02:09:33        ^
02:09:33 ../src/const.cpp:7:2: note: in expansion of macro ‘SET_CONST’
02:09:33   SET_CONST(target, CKA_TOKEN);
02:09:33   ^
02:09:33 In file included from ../../nan/nan.h:197:0,
02:09:33                  from ../src/const.h:7,
02:09:33                  from ../src/const.cpp:1:
02:09:33 ../../nan/nan_maybe_43_inl.h:116:35: note: declared here
02:09:33  NAN_DEPRECATED inline Maybe<bool> ForceSet(
02:09:33                                    ^
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.h:23:7: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]
02:09:33   Nan::ForceSet(             \
02:09:33        ^
02:09:33 ../src/const.cpp:7:2: note: in expansion of macro ‘SET_CONST’
02:09:33   SET_CONST(target, CKA_TOKEN);
02:09:33   ^
02:09:33 In file included from ../../nan/nan.h:197:0,
02:09:33                  from ../src/const.h:7,
02:09:33                  from ../src/const.cpp:1:
02:09:33 ../../nan/nan_maybe_43_inl.h:116:35: note: declared here
02:09:33  NAN_DEPRECATED inline Maybe<bool> ForceSet(
02:09:33                                    ^
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.h:27:56: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]
02:09:33    static_cast<PropertyAttribute>(ReadOnly | DontDelete));
02:09:33                                                         ^
02:09:33 ../src/const.cpp:7:2: note: in expansion of macro ‘SET_CONST’
02:09:33   SET_CONST(target, CKA_TOKEN);
02:09:33   ^
02:09:33 In file included from ../../nan/nan.h:197:0,
02:09:33                  from ../src/const.h:7,
02:09:33                  from ../src/const.cpp:1:
02:09:33 ../../nan/nan_maybe_43_inl.h:116:35: note: declared here
02:09:33  NAN_DEPRECATED inline Maybe<bool> ForceSet(
02:09:33                                    ^
02:09:33 In file included from ../src/const.cpp:1:0:
02:09:33 ../src/const.h:23:7: warning: ‘Nan::Maybe<bool> Nan::ForceSet(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Value>, v8::PropertyAttribute)’ is deprecated [-Wdeprecated-declarations]


*Build Log*
https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-verify-x86_64/577/consoleFull","30/Nov/17 10:12 PM;latitiah;This error is sporatic and not consistent. I believe this issue is related to the CI slowness issues. The same test passes for a kafka based orderer network using NodeSDK.

I'm going to lower the priority, but leave the issue open for now.","01/Dec/17 3:37 PM;latitiah;In the meantime while these issues are being looked at in CI, I will increase the 2 minute timeouts to 5 minute timeouts. When it comes to the query and invoke timings, I need to be careful about increasing those times because that could impact tests and env settings and expectations for these settings.
",04/Dec/17 8:10 PM;latitiah;https://gerrit.hyperledger.org/r/#/c/15923/,"08/Dec/17 8:47 PM;scottz;[https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-verify-x86_64/test_results_analyzer/] job 613 failed just one iteration of one CI test: this one. 

If the deploy (instantiate) is really all done, then the subsequent invoke should always pass. But it is not always passing.

How long do we arbitrarily wait after the deploy?

I am sure I asked this previously, but I will ask again: Rather than guessing at sleep time, is there anything else we can check, during the deploy verification, before returning successfully from that step?

Would it help if we have it dump out the actual returned status and the data value (instead of simply stating the length is incorrect)?","08/Dec/17 11:41 PM;scottz;[~latitiah] And I noticed that most of the tests in gossip.feature file contain a 5 second wait (minimum) after the deploy. Or, I should say, that is true for all testcases that try an invoke first. For the others the first thing they do is a query (instead of an invoke). All the tests in that file seem to be passing regularly.","13/Dec/17 6:55 PM;scottz;[https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-verify-x86_64/test_results_analyzer/]

Occasionally it still fails. See my previous comments. It is typically the 1.3 test that fails.","19/Dec/17 4:01 PM;sambhavdutt;*Merge test failed for fabric-test-merge-x86_64 - Build # 129*

orderer.Orderer Service.FAB-3852: Message Payloads Less than 1MB, for kafka orderer using the CLI interface -- @1.2

Failing for the past 1 build (Since Unstable#129 )
Took 6 min 33 sec.

Error Message

The containers are not ready in the allotted time (300 seconds)
Failing step: Given I have a bootstrapped fabric network of type kafka ... failed in 393.344s
Location: orderer.feature:64
Assertion Failed: The containers are not ready in the allotted time (300 seconds)
Captured stdout:
testConfigs: configs/0c388bcce44011e78ad6fa163ede05d7

*Build Log*
https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-merge-x86_64/129/testReport/orderer/Orderer%20Service/FAB_3852__Message_Payloads_Less_than_1MB__for_kafka_orderer_using_the_CLI_interface_____1_2_/
","26/Dec/17 4:26 PM;sambhavdutt;This test case (wrong deployment size) has failed in the last build  #27 for *fabric-smoke-test-daily-verify-x86_64* 

orderer.Orderer Service.FAB-3852: Message Payloads Less than 1MB, for solo orderer using the NodeJS SDK interface -- @1.3

Error Message:
Expected response to be of length 1024; received length 17; Result: Query Result...

And a user queries on the chaincode named ""mycc"" with args [""get"",""a""] ... passed in 2.986s
    Then a user receives a response containing a value of length 1024 ... failed in 0.000s


*Build Log*

https://jenkins.hyperledger.org/view/fabric-smoke/job/fabric-smoke-test-daily-verify-x86_64/27/testReport/orderer/Orderer%20Service/FAB_3852__Message_Payloads_Less_than_1MB__for_solo_orderer_using_the_NodeJS_SDK_interface_____1_3_/","27/Dec/17 3:51 PM;sambhavdutt;The *fabric-smoke-test-daily-verify-x86_64* has passed successfully in the last build #28 without any error in the Ordering tests.

 !ft.png|thumbnail! ",28/Dec/17 2:52 PM;mastersingh24;So is there a defect on Fabric or is this a failure due to CI taking too long?,"28/Dec/17 7:29 PM;latitiah;This error is not consistent and seems to happen during ""CI slowdowns"". This is indicated from the statement 
{code}
Assertion Failed: The containers are not ready in the allotted time (300 seconds){code}

If there is a different error signature, it would indicate a different issue from timing.",05/Jan/18 5:29 PM;sambhavdutt;This CI slowdown is not happening and the orderer test has been successful from the last six builds. Closing the bug for now as no error observed in this department.,,,,,,,,
Misleading comment in vscc source code,FAB-7300,24759,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,ales,bta,bta,12/4/2017 21:34,1/26/2018 15:29,4/26/2018 6:50,1/26/2018 15:29,v1.1.0-preview,,,,,,fabric-baseimage,,,,0,,,,,"The comment above the Invoke functions states:

""This validation system chaincode will check the read-write set validity and at least 1 correct endorsement. Later we can create more validation system chaincodes to provide more sophisticated policy processing such as enabling policy specification to be coded as a transaction of the chaincode...""

This is outdated since vscc supports more complex policies already.",,900,900,,0%,900,900,,,,,,,,,,,,,,,,,,,0|i01wod:,,,,,,bta,luomin,,,,,,master,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
fabric-verify-s390x failed as some packages couldn't be fetched due to url failure..,FAB-7335,24805,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,rameshthoomu,sambhavdutt,sambhavdutt,12/5/2017 23:00,12/6/2017 14:49,4/26/2018 6:50,12/6/2017 14:49,,,,,,,fabric-ci,,,,0,ci_failure,,,,"fabric-verify-s390x has failed as a url returns a 404 error, and fails to fetch some build packages, 

*Error Message*
21:14:30 W: Failed to fetch http://ftp.us.debian.org/debian/dists/sid/main/binary-s390x/Packages  Hash Sum mismatch
21:14:30 
21:14:30 E: Some index files failed to download. They have been ignored, or old ones used instead.
21:14:30 Fetched 20.0 MB in 4s (4491 kB/s)
21:14:31 The command '/bin/sh -c bash /tmp/install-softhsm2.sh && rm -f install-softhsm2.sh' returned a non-zero code: 100
21:14:31 Makefile:291: recipe for target 'build/image/testenv/.dummy-s390x-1.1.0-alpha-snapshot-3689c5a' failed
21:14:31 make: *** [build/image/testenv/.dummy-s390x-1.1.0-alpha-snapshot-3689c5a] Error 100
21:14:31 Build step 'Execute shell' marked build as failure

*Build Log*
https://jenkins.hyperledger.org/view/fabric/job/fabric-verify-s390x/514/console",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01wyd:,,,,,,rameshthoomu,sambhavdutt,,,,,,,,,,"06/Dec/17 2:49 PM;rameshthoomu;[~sambhavdutt] don't create bugs when a verify build is failed. Usually verify build may fail for any reason and if you observe the above error consistently pls file a bug but I observed this is caused by the network error. Same build got passed on the reverify.

https://jenkins.hyperledger.org/job/fabric-verify-s390x/515/",,,,,,,,,,,,,,,,,,,,,
reinitialization of setupAdmins in fabric/msp/mspimpl.go Setup() function,FAB-7394,24885,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,mastersingh24,meinvzou,meinvzou,12/8/2017 4:26,12/16/2017 21:55,4/26/2018 6:50,12/16/2017 21:55,,,,,v1.1,,,,,,0,,,,," in fabric/msp/mspimpl.go Setup() function, from line code 289~306, with sequence call of setupCAs and setupAdmins function. 

The setupCAs function's following codes are the same in setupAdmins function. I suppose that there're unnecessary duplicated codes?

// make and fill the set of admin certs (if present)
 msp.admins = make([]Identity, len(conf.Admins))
 for i, admCert := range conf.Admins \{
 id, _, err := msp.getIdentityFromConf(admCert)
 if err != nil \{
 return err
 }

msp.admins[i] = id
 }

 ",,,,,,,,,,,,,,,,,,,,,,,,,,0|i01xet:,,,,,,mastersingh24,meinvzou,,,,,,master,,,TRUE,16/Dec/17 1:23 PM;mastersingh24;I'll fix this in master.  Not sure it's worth a backport to the release branch,16/Dec/17 1:28 PM;mastersingh24;https://gerrit.hyperledger.org/r/16247,,,,,,,,,,,,,,,,,,,,
Log err during retry process,FAB-7436,25411,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,guoger,sanchezl,sanchezl,12/12/2017 13:24,2/18/2018 11:43,4/26/2018 6:50,12/14/2017 14:05,,,,,v1.1,,fabric-orderer,,,,0,,,,,The retryProcess (fabric/orderer/kafka/retry.go) does not log the actual error that causes a retry. Adding a trace statement can help when diagnosing why a process is continuously being retried.,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01xpp:,,,,,,guoger,sanchezl,,,,,,master,,,TRUE,14/Dec/17 1:36 AM;guoger;https://gerrit.hyperledger.org/r/#/c/16173/,,,,,,,,,,,,,,,,,,,,,
