Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,FAB-1793,14222,fabric-sdk-node end-to-end tests are failing consistently,harrisob@us.ibm.com,rameshthoomu,Highest,Done,Done,20/Jan/17 9:56 PM,25/Jan/17 3:19 AM,
Bug,FAB-1728,14157,TLS between peer to peer not working  (v0.6),,wayoon,Highest,Done,Done,18/Jan/17 3:28 PM,19/Apr/17 6:54 PM,
Bug,FAB-1708,14137,[node-SDK] end-to-end.js not ok 1 Error: Calling enrollment endpoint failed with error [Error: Parse Error] at ClientRequest.<anonymous> (/home/ibmadmin/work/src/github.com/hyperledger/fabric-sdk-node/node_modules/hfc-cop/lib/FabricCOPImpl.js:304:12) ,,jjjjibm,Highest,Done,Done,17/Jan/17 7:52 PM,08/Feb/17 3:48 AM,
Bug,FAB-1704,14133,[node-SDK] end-to-end.js not ok 5 TypeError: Cannot read property '0' of undefined at /home/ibmadmin/work                   /src/github.com/hyperledger/fabric-sdk-node/test/unit/end-to-end.js:202:36,jjjjibm,jjjjibm,Highest,Done,Done,17/Jan/17 6:38 PM,08/Feb/17 12:55 PM,
Bug,FAB-1702,14131,end-to-end.js not ok 4 TypeError: Cannot read property 'status' of undefined at /home/ibmadmin                   /work/src/github.com/hyperledger/fabric-sdk-node/test/unit/end-to-end.js:143:18,jjjjibm,jjjjibm,Highest,Done,Done,17/Jan/17 6:27 PM,13/Feb/17 5:11 PM,
Bug,FAB-1701,14130,[node-SDK] not ok 3 TypeError: Cannot read property 'getIdentity' of null at /home/ibmadmin                   /work/src/github.com/hyperledger/fabric-sdk-node/node_modules/hfc/lib/Chain.js:7                   08:49,jimthematrix,jjjjibm,Highest,Done,Done,17/Jan/17 6:18 PM,08/Feb/17 12:56 PM,
Bug,FAB-1596,14007,COP server throws NPE on enrollment when starting w/o -ca and -ca-key options,skarim,smithbk,Highest,Done,Done,11/Jan/17 11:57 AM,10/Mar/17 3:54 PM,
Bug,FAB-1487,13896,Merged change https://gerrit.hyperledger.org/r/#/c/3319/ causes build errors on z,baohua,harrijk,Highest,Done,Done,29/Dec/16 3:12 PM,05/Jan/17 3:36 PM,
Bug,FAB-1311,13718,"The ""errors"" unit test fails on both the z and p architectures",wlahti,harrijk,Highest,Done,Done,08/Dec/16 3:17 PM,09/Jan/17 8:32 PM,
Bug,FAB-1202,13536,GOROOT is not set properly for ppc64le hyperledger/fabric-baseimage,SriramaSharma,SriramaSharma,Highest,Done,Done,28/Nov/16 9:22 AM,05/Jan/17 12:00 PM,
Bug,FAB-1040,13371,"Error getting tx(proto: bad wiretype for field protos.Transaction2.Version: got wiretype 2, want 0)...dropping block",muralisr,denyeart,Highest,Done,Done,08/Nov/16 7:24 PM,09/Nov/16 5:13 PM,
Bug,FAB-939,13270,Orderer rejects legit broadcast messages due to configFilter,jyellick,jimthematrix,Highest,Done,Done,03/Nov/16 1:20 PM,06/Nov/16 1:54 AM,
Bug,FAB-749,13053,[node-SDK] README.md does not say how to generate sdk/node documenation,jimthematrix,jjjjibm,Highest,Done,Done,18/Oct/16 6:43 PM,07/Nov/16 3:30 PM,
Bug,FAB-747,13051,[node-SDK] core/committer/noopssinglechain/committer.go:149: no formatting dntf call,,jjjjibm,Highest,Done,Done,18/Oct/16 5:15 PM,31/Dec/16 8:34 PM,
Bug,FAB-677,12979,[node-SDK] class EventHub callbacks not documented ,pmullaney,jjjjibm,Highest,Done,Done,11/Oct/16 7:11 PM,08/Feb/17 3:20 PM,
Bug,FAB-616,12918,[node-SDK] npm WARN package.json hfc@0.6.2 license should be a valid SPDX license expression,,jjjjibm,Highest,Done,Done,06/Oct/16 2:32 PM,08/Feb/17 3:22 PM,
Bug,FAB-490,12791,deploying chaincode failing on master,ChristopherFerris,ChristopherFerris,Highest,Done,Done,27/Sep/16 5:14 PM,28/Nov/16 8:12 AM,
Bug,FAB-407,12708,standalone-app.js has hardcoded values for peer/membersrvc,ChristopherFerris,ChristopherFerris,Highest,Done,Done,17/Sep/16 11:09 PM,24/Sep/16 12:07 AM,
Bug,FAB-406,12707,nodeSDK docs links are broken and missing from index,rameshthoomu,ChristopherFerris,Highest,Done,Done,16/Sep/16 2:07 PM,24/Sep/16 12:06 AM,
Bug,FAB-392,12693,ACA combined with TLS fails,pvle@us.ibm.com,rennman,Highest,Done,Done,14/Sep/16 1:58 AM,17/Oct/16 10:16 AM,
Bug,FAB-321,12622,Unable to deploy chaincode example02 using hfc0.6.0 on V0.6 branch,angrbrd,Ratnakar,Highest,Done,Done,08/Sep/16 4:56 PM,06/Dec/16 2:21 PM,
Bug,FAB-320,12621,node unit tests fails on V0.6 branch,angrbrd,Ratnakar,Highest,Done,Done,08/Sep/16 4:46 PM,06/Dec/16 2:21 PM,
Bug,FAB-288,12589,[node-SDK]  Incorrect Chaincode ID on Deploy Transaction,sanjay.bardhan,bmos299,Highest,Done,Done,31/Aug/16 7:20 PM,23/Dec/16 5:50 AM,
Bug,FAB-271,12572,[node-SDK] improve Documentation -- class Chain,jimthematrix,jjjjibm,Highest,Done,Done,30/Aug/16 5:04 PM,28/Oct/16 3:25 AM,
Bug,FAB-270,12571,I cant install hyperledger fabric  can you help me?,,forest_wow,Highest,Done,Done,30/Aug/16 9:06 AM,24/Jan/17 4:48 PM,
Bug,FAB-268,12569,Inconsistent behave test failures,jeffgarratt,rameshthoomu,Highest,Done,Done,29/Aug/16 11:22 PM,18/Jan/17 2:36 PM,
Bug,FAB-249,12550,[node-SDK] Provide constructor for input to chain.setMemberServices(),jimthematrix,jjjjibm,Highest,Done,Done,26/Aug/16 3:41 AM,08/Feb/17 3:30 PM,
Bug,FAB-211,12511,documentation link in npm for hfc is broken,cdaughtr,ChristopherFerris,Highest,Done,Done,21/Aug/16 7:17 PM,08/Feb/17 3:32 PM,
Bug,FAB-191,12491,Chaincode that was deployed using NodeSDK Becomes Unusable,jimthematrix,Ratnakar,Highest,Done,Done,20/Aug/16 2:51 AM,06/Dec/16 2:21 PM,
Bug,FAB-169,12468,Blockchain hangs with a height of 21,,bmos299,Highest,Done,Done,18/Aug/16 3:17 PM,05/Sep/16 10:23 AM,
Bug,FAB-98,12397,[node-SDK] Node SDK unit tests are not working on gerrit code base,hgabre,rameshthoomu,Highest,Done,Done,15/Aug/16 7:58 PM,29/Aug/16 2:44 PM,
